f,algo
42.196999,p35p
151.987378,p35p
0.622174,p35p
0.282280,p35p
0.317000,p35p
0.387079,p35p
0.381910,p35p
0.265477,p35p
592144.520254,p35p
0.262856,p35p
0.368462,p35p
0.351320,p35p
0.348874,p35p
0.343570,p35p
0.328361,p35p
0.001974,p4p
0.002956,p4p
0.004183,p4p
0.002791,p4p
0.003289,p4p
0.004971,p4p
0.003237,p4p
0.003077,p4p
0.002652,p4p
0.002266,p4p
0.002275,p4p
0.000993,p4p
0.002027,p4p
0.003161,p4p
0.003009,p4p
0.003905,p4p
0.002636,p4p
0.002536,p4p
0.004486,p4p
0.003377,p4p
0.002827,p4p
0.000400,p4p
0.002885,p4p
0.002489,p4p
0.005972,p4p
0.001235,p4p
0.001608,p4p
0.002959,p4p
0.002656,p4p
0.000214,p4p
0.001434,p4p
0.001263,p4p
0.002076,p4p
0.001260,p4p
0.001930,p4p
0.002589,p4p
0.000569,p4p
0.000879,p4p
0.001445,p4p
13.849912,real
0.525114,real
3.085178,real
82.432433,real
0.831925,real
0.800452,real
0.849698,real
2.427131,real
178573.864843,real
1.215755,real
0.797763,real
0.642946,real
696.960698,real
8164.611131,real
42827.416461,real
