f,algo
0.008521,p35p
0.006806,p35p
0.004193,p35p
0.002632,p35p
0.002908,p35p
0.004966,p35p
0.002593,p35p
0.002530,p35p
0.002514,p35p
0.002533,p35p
0.002488,p35p
0.002520,p35p
0.006397,p35p
0.009677,p35p
0.015003,p35p
0.018569,p35p
0.026160,p35p
0.004196,p35p
0.002999,p35p
0.003267,p35p
0.003646,p35p
0.003627,p35p
0.003664,p35p
0.003781,p35p
0.003036,p35p
0.003522,p35p
0.003461,p35p
0.003638,p35p
0.003617,p35p
0.003750,p35p
0.004138,p35p
0.003891,p35p
0.003696,p35p
0.003598,p35p
0.003473,p35p
0.003173,p35p
0.002735,p35p
0.003210,p35p
0.002995,p35p
0.003259,p35p
0.003702,p35p
0.003706,p35p
0.007623,real
0.006236,real
0.003115,real
0.002863,real
0.002879,real
0.005007,real
0.002840,real
0.002735,real
0.003549,real
0.002676,real
0.003044,real
0.002629,real
0.002685,real
0.003492,real
0.003464,real
0.003281,real
0.003312,real
0.003999,real
0.002939,real
0.002811,real
0.002766,real
0.002801,real
0.002831,real
0.002986,real
0.002938,real
0.003342,real
0.003267,real
0.003423,real
0.003331,real
0.003448,real
0.003762,real
0.003591,real
0.003527,real
0.003550,real
0.003517,real
0.003295,real
0.002922,real
0.002779,real
0.002735,real
0.002559,real
0.002897,real
0.002884,real
